t,aerospike,bell
2.41,235.1495769,224.8113891
2.42,237.1154006,226.690904
2.43,239.0895031,228.5783371
2.44,241.0718854,230.4736897
2.45,243.0625487,232.3769629
2.46,245.0614942,234.2881577
2.47,247.0687231,236.2072753
2.48,249.0842364,238.1343169
2.49,251.1080353,240.0692835
2.5,253.140121,242.0121763
2.51,255.1804946,243.9629964
2.52,257.2291572,245.9217449
2.53,259.2861101,247.8884229
2.54,261.3513543,249.8630315
2.55,263.4248909,251.8455719
2.56,265.5067212,253.8360452
2.57,267.5968462,255.8344526
2.58,269.6952671,257.8407951
2.59,271.801985,259.8550739
2.6,273.917001,261.8772901
2.61,276.0403162,263.9074448
2.62,278.1719318,265.9455392
2.63,280.3118489,267.9915743
2.64,282.4600685,270.0455514
2.65,284.6165919,272.1074714
2.66,286.7814201,274.1773356
2.67,288.9545543,276.255145
2.68,291.1359954,278.3409007
2.69,293.3257447,280.4346039
2.7,295.5238032,282.5362556
2.71,297.730172,284.6458569
2.72,299.9448521,286.763409
2.73,302.1678448,288.8889129
2.74,304.399151,291.0223698
2.75,306.6387718,293.1637807
2.76,308.8867084,295.3131467
2.77,311.1429618,297.470469
2.78,313.4075331,299.6357485
2.79,315.6804234,301.8089864
2.8,317.9616337,303.9901838
2.81,320.251165,306.1793417
2.82,322.5490186,308.3764611
2.83,324.8551954,310.5815433
2.84,327.1696965,312.7945891
2.85,329.492523,315.0155997
2.86,331.8236759,317.2445762
2.87,334.1631563,319.4815196
2.88,336.5109652,321.726431
2.89,338.8671038,323.9793114
2.9,341.231573,326.2401619
2.91,343.6043739,328.5089835
2.92,345.9855076,330.7857774
2.93,348.3749751,333.0705444
2.94,350.7727774,335.3632858
2.95,353.1789156,337.6640024
2.96,355.5933907,339.9726955
2.97,358.0162038,342.289366
2.98,360.447356,344.6140149
2.99,362.8868481,346.9466433
3,365.3346814,349.2872523
3.01,367.7908567,351.6358428
3.02,370.2553752,353.9924159
3.03,372.7282379,356.3569727
3.04,375.2094457,358.7295141
3.05,377.6989997,361.1100412
3.06,380.196901,363.498555
3.07,382.7031505,365.8950566
3.08,385.2177492,368.2995469
3.09,387.7406983,370.712027
3.1,390.2719986,373.1324979
3.11,392.8116512,375.5609606
3.12,395.3596571,377.9974161
3.13,397.9160172,380.4418654
3.14,400.4807325,382.8943096
3.15,403.0538039,385.3547497
3.16,405.6352323,387.8231866
3.17,408.2250187,390.2996214
3.18,410.8231639,392.784055
3.19,413.429669,395.2764885
3.2,416.0445349,397.7769229
3.21,418.6677624,400.2853591
3.22,421.2993524,402.8017981
3.23,423.939306,405.326241
3.24,426.5876239,407.8586888
3.25,429.2443071,410.3991423
3.26,431.9093565,412.9476026
3.27,434.5827728,415.5040707
3.28,437.264557,418.0685473
3.29,439.9547098,420.6410334
3.3,442.6532323,423.22153
3.31,445.3601253,425.8100379
3.32,448.0753895,428.4065581
3.33,450.7990258,431.0110914
3.34,453.5310352,433.6236388
3.35,456.2714184,436.2442012
3.36,459.0201764,438.8727795
3.37,461.77731,441.5093745
3.38,464.5428202,444.1539872
3.39,467.3167077,446.8066184
3.4,470.0989736,449.4672689
