x,y,s,p,T,M,A,a,V,rho
1.978178462867532204e-04,3.189754978207149511e-02,4.582351351259132590e-04,1.890838549111824207e+01,2.528307689497219599e+03,1.015297135477868595e+00,5.310821730644403778e-04,3.442643825670252227e+02,3.495306414673577819e+02,2.079345377886666402e+00
1.991965579677878670e-04,3.189467622557141946e-02,4.614223239905004045e-04,1.890401512318444688e+01,2.528196750124770915e+03,1.015503853524866829e+00,5.310851672394645067e-04,3.442568295121325832e+02,3.495941369718237297e+02,2.078955993096355037e+00
2.005670253558125213e-04,3.189182006652194895e-02,4.645902610759728205e-04,1.889964506772226116e+01,2.528085797905319396e+03,1.015710571571865062e+00,5.310882011823922326e-04,3.442492754168331999e+02,3.496576282968320584e+02,2.078566619059521781e+00
2.019294171078213698e-04,3.188898095249945164e-02,4.677393370862784885e-04,1.889527532508231644e+01,2.527974832843529839e+03,1.015917289618863295e+00,5.310912748823960619e-04,3.442417202813761605e+02,3.497211154419905483e+02,2.078177255806375801e+00
2.032838963981842620e-04,3.188615854254135684e-02,4.708699300204644022e-04,1.889090589561504174e+01,2.527863854944066134e+03,1.016124007665861528e+00,5.310943883286649812e-04,3.442341641060106099e+02,3.497845984069073779e+02,2.077787903367110722e+00
2.046306211644925883e-04,3.188335250663236475e-02,4.739824057422558365e-04,1.888653677967066713e+01,2.527752864211593078e+03,1.016330725712859762e+00,5.310975415104013126e-04,3.442266068909855790e+02,3.498480771911906686e+02,2.077398561771909513e+00
2.059697443393612715e-04,3.188056252521984796e-02,4.770771185172414984e-04,1.888216797759924503e+01,2.527641860650773651e+03,1.016537443759857995e+00,5.311007344168224486e-04,3.442190486365502693e+02,3.499115517944490534e+02,2.077009231050943150e+00
2.073014140692125244e-04,3.187778828875645343e-02,4.801544115199030583e-04,1.887779948975071065e+01,2.527530844266273107e+03,1.016744161806856228e+00,5.311039670371564070e-04,3.442114893429537119e+02,3.499750222162911086e+02,2.076619911234378613e+00
2.086257739209429994e-04,3.187502949726806617e-02,4.832146173125374984e-04,1.887343131647473982e+01,2.527419815062754878e+03,1.016950879853854461e+00,5.311072393606494201e-04,3.442039290104450515e+02,3.500384884563257515e+02,2.076230602352362453e+00
2.099429630772926825e-04,3.187228585994548308e-02,4.862580582979150984e-04,1.886906345812084140e+01,2.527308773044881946e+03,1.017157597900852695e+00,5.311105513765584539e-04,3.441963676392733760e+02,3.501019505141620698e+02,2.075841304435031898e+00
2.112531165215890405e-04,3.186955709475815940e-02,4.892850471474404677e-04,1.886469591503839993e+01,2.527197718217319107e+03,1.017364315947850928e+00,5.311139030741560867e-04,3.441888052296878868e+02,3.501654083894094924e+02,2.075452017512519287e+00
2.125563652126379391e-04,3.186684292808860536e-02,4.922958872064337691e-04,1.886032868757656900e+01,2.527086650584728432e+03,1.017571033994849161e+00,5.311172944427280159e-04,3.441812417819376151e+02,3.502288620816774483e+02,2.075062741614938311e+00
2.138528362503715197e-04,3.186414309438613535e-02,4.952908728779645796e-04,1.885596177608434942e+01,2.526975570151774718e+03,1.017777752041847394e+00,5.311207254715744671e-04,3.441736772962717623e+02,3.502923115905757072e+02,2.074673476772397329e+00
2.151426530328224597e-04,3.186145733583868600e-02,4.982702899866436235e-04,1.885159518091051467e+01,2.526864476923120037e+03,1.017984470088845628e+00,5.311241961500091100e-04,3.441661117729393595e+02,3.503557569157140961e+02,2.074284223014986939e+00
2.164259354049957729e-04,3.185878540206159987e-02,5.012344161236129223e-04,1.884722890240369608e+01,2.526753370903426912e+03,1.018191188135843861e+00,5.311277064673596005e-04,3.441585452121895514e+02,3.504191980567028395e+02,2.073894980372790631e+00
2.177027998001928276e-04,3.185612704980231302e-02,5.041835209739323502e-04,1.884286294091239355e+01,2.526642252097359687e+03,1.018397906182842094e+00,5.311312564129663880e-04,3.441509776142715964e+02,3.504826350131523327e+02,2.073505748875885235e+00
2.189733593740829203e-04,3.185348204265991967e-02,5.071178666274155176e-04,1.883849729678482277e+01,2.526531120509579978e+03,1.018604624229840327e+00,5.311348459761855347e-04,3.441434089794345823e+02,3.505460677846731983e+02,2.073116528554327154e+00
2.202377241321842004e-04,3.185085015081875331e-02,5.100377078739778275e-04,1.883413197036907150e+01,2.526419976144750763e+03,1.018811342276838561e+00,5.311384751463868719e-04,3.441358393079275402e+02,3.506094963708760588e+02,2.072727319438165683e+00
2.214960010510323707e-04,3.184823115079517264e-02,5.129432924843482355e-04,1.882976696201310673e+01,2.526308819007535476e+03,1.019018060323836794e+00,5.311421439129524824e-04,3.441282685999997852e+02,3.506729207713721053e+02,2.072338121557444790e+00
2.227482941933528818e-04,3.184562482519662924e-02,5.158348614771142079e-04,1.882540227206456152e+01,2.526197649102593914e+03,1.019224778370835027e+00,5.311458522652793028e-04,3.441206968559003485e+02,3.507363409857723582e+02,2.071948934942183129e+00
2.239947048177765541e-04,3.184303096249246207e-02,5.187126493728330158e-04,1.882103790087107953e+01,2.526086466434591330e+03,1.019431496417833261e+00,5.311496001927778219e-04,3.441131240758784315e+02,3.507997570136882928e+02,2.071559759622405128e+00
2.252353314832300328e-04,3.184044935679562066e-02,5.215768844359865196e-04,1.881667384877996696e+01,2.525975271008187974e+03,1.019638214464831494e+00,5.311533876848726233e-04,3.441055502601831790e+02,3.508631688547314980e+02,2.071170595628110789e+00
2.264702701484187092e-04,3.183787980765469955e-02,5.244277889055165955e-04,1.881231011613845183e+01,2.525864062828046372e+03,1.019844932511829505e+00,5.311572147310014095e-04,3.440979754090637357e+02,3.509265765085137900e+02,2.070781442989295673e+00
2.276996142666150476e-04,3.183532211985571486e-02,5.272655792145456441e-04,1.880794670329349927e+01,2.525752841898827228e+03,1.020051650558827738e+00,5.311610813206167365e-04,3.440903995227693031e+02,3.509899799746473263e+02,2.070392301735940688e+00
2.289234548761578079e-04,3.183277610323314438e-02,5.300904661998905292e-04,1.880358361059198202e+01,2.525641608225193977e+03,1.020258368605825972e+00,5.311649874431831949e-04,3.440828226015490259e+02,3.510533792527442074e+02,2.070003171898019190e+00
