Converging x,Converging y
-1.298657182251421009e-02,2.288356911315946735e-02
-1.298523616769342234e-02,2.288490476798025336e-02
-1.298390051287263633e-02,2.288624042280103937e-02
-1.298256485805184858e-02,2.288757607762182539e-02
-1.298122920323106083e-02,2.288891173244261487e-02
-1.297989354841027482e-02,2.289024738726340089e-02
-1.297855789358948707e-02,2.289158304208419037e-02
-1.297722223876869932e-02,2.289291869690497638e-02
-1.297588658394791157e-02,2.289425435172576240e-02
-1.297455092912712556e-02,2.289559000654654841e-02
-1.297321527430633781e-02,2.289692566136733790e-02
-1.297187961948555006e-02,2.289826131618812738e-02
-1.297054396466476404e-02,2.289959697100891339e-02
-1.296920830984397630e-02,2.290093262582969941e-02
-1.296787265502318855e-02,2.290226828065048542e-02
-1.296653700020240253e-02,2.290360393547127144e-02
-1.296520134538161478e-02,2.290493959029206092e-02
-1.296386569056082703e-02,2.290627524511285040e-02
-1.296253003574003929e-02,2.290761089993363642e-02
-1.296119438091925327e-02,2.290894655475442243e-02
-1.295985872609846552e-02,2.291028220957520845e-02
-1.295852307127767777e-02,2.291161786439599793e-02
-1.295718741645689176e-02,2.291295351921678394e-02
-1.295585176163610401e-02,2.291428917403757343e-02
-1.295451610681531626e-02,2.291562482885835944e-02
-1.295318045199453025e-02,2.291696048367914545e-02
-1.295184479717374250e-02,2.291829613849993147e-02
-1.295050914235295475e-02,2.291963179332072095e-02
-1.294917348753216700e-02,2.292096744814151044e-02
-1.294783783271138099e-02,2.292230310296229645e-02
-1.294650217789059324e-02,2.292363875778308246e-02
-1.294516652306980549e-02,2.292497441260386848e-02
-1.294383086824901948e-02,2.292631006742465449e-02
-1.294249521342823173e-02,2.292764572224544398e-02
-1.294115955860744398e-02,2.292898137706623346e-02
-1.293982390378665796e-02,2.293031703188701947e-02
-1.293848824896587021e-02,2.293165268670780549e-02
-1.293715259414508247e-02,2.293298834152859150e-02
-1.293581693932429472e-02,2.293432399634938099e-02
-1.293448128450350870e-02,2.293565965117016700e-02
-1.293314562968272095e-02,2.293699530599095648e-02
-1.293180997486193320e-02,2.293833096081174250e-02
-1.293047432004114719e-02,2.293966661563252851e-02
-1.292913866522035944e-02,2.294100227045331453e-02
-1.292780301039957169e-02,2.294233792527410401e-02
-1.292646735557878568e-02,2.294367358009489002e-02
-1.292513170075799793e-02,2.294500923491567951e-02
-1.292379604593721018e-02,2.294634488973646552e-02
-1.292246039111642243e-02,2.294768054455725154e-02
-1.292112473629563642e-02,2.294901619937803755e-02
-1.291978908147484867e-02,2.295035185419882703e-02
-1.291845342665406092e-02,2.295168750901961652e-02
-1.291711777183327491e-02,2.295302316384040253e-02
-1.291578211701248716e-02,2.295435881866118855e-02
-1.291444646219169941e-02,2.295569447348197456e-02
-1.291311080737091339e-02,2.295703012830276057e-02
-1.291177515255012564e-02,2.295836578312355006e-02
-1.291043949772933790e-02,2.295970143794433954e-02
-1.290910384290855015e-02,2.296103709276512556e-02
-1.290776818808776413e-02,2.296237274758591157e-02
-1.290643253326697638e-02,2.296370840240669758e-02
-1.290509687844618864e-02,2.296504405722748707e-02
-1.290376122362540262e-02,2.296637971204827308e-02
-1.290242556880461487e-02,2.296771536686906257e-02
-1.290108991398382712e-02,2.296905102168984858e-02
-1.289975425916304111e-02,2.297038667651063459e-02
-1.289841860434225336e-02,2.297172233133142061e-02
-1.289708294952146561e-02,2.297305798615221009e-02
-1.289574729470067786e-02,2.297439364097299958e-02
