        p           t         gam         rho          mw
   2.2063E+01  3.2808E+03  1.1542E+00  2.1007E+00  2.5973E+01
   1.2641E+01  3.0787E+03  1.1567E+00  1.2971E+00  2.6265E+01
   2.2753E+01  3.2837E+03  1.1545E+00  2.1650E+00  2.5979E+01
   1.3035E+01  3.0809E+03  1.1570E+00  1.3368E+00  2.6270E+01
   2.3442E+01  3.2865E+03  1.1547E+00  2.2292E+00  2.5985E+01
   1.3428E+01  3.0830E+03  1.1573E+00  1.3764E+00  2.6275E+01
   2.4132E+01  3.2893E+03  1.1550E+00  2.2933E+00  2.5991E+01
   1.3822E+01  3.0851E+03  1.1576E+00  1.4161E+00  2.6280E+01
   2.4821E+01  3.2919E+03  1.1552E+00  2.3575E+00  2.5996E+01
   1.4215E+01  3.0871E+03  1.1579E+00  1.4557E+00  2.6284E+01
   2.5511E+01  3.2945E+03  1.1554E+00  2.4215E+00  2.6002E+01
   1.4609E+01  3.0890E+03  1.1582E+00  1.4953E+00  2.6289E+01
   2.6200E+01  3.2970E+03  1.1557E+00  2.4856E+00  2.6007E+01
   1.5002E+01  3.0909E+03  1.1585E+00  1.5349E+00  2.6293E+01
   2.6889E+01  3.2994E+03  1.1559E+00  2.5496E+00  2.6012E+01
   1.5395E+01  3.0927E+03  1.1587E+00  1.5744E+00  2.6298E+01
   2.7579E+01  3.3018E+03  1.1561E+00  2.6136E+00  2.6017E+01
   1.5788E+01  3.0945E+03  1.1590E+00  1.6140E+00  2.6302E+01
   2.1374E+01  3.2877E+03  1.1509E+00  2.0456E+00  2.6162E+01
   1.2270E+01  3.0928E+03  1.1514E+00  1.2629E+00  2.6468E+01
   2.2063E+01  3.2908E+03  1.1511E+00  2.1101E+00  2.6169E+01
   1.2664E+01  3.0952E+03  1.1517E+00  1.3028E+00  2.6474E+01
   2.2753E+01  3.2938E+03  1.1514E+00  2.1746E+00  2.6175E+01
   1.3059E+01  3.0976E+03  1.1520E+00  1.3426E+00  2.6480E+01
   2.3442E+01  3.2967E+03  1.1516E+00  2.2390E+00  2.6181E+01
   1.3453E+01  3.0999E+03  1.1523E+00  1.3824E+00  2.6485E+01
   2.4132E+01  3.2996E+03  1.1518E+00  2.3034E+00  2.6187E+01
   1.3848E+01  3.1021E+03  1.1525E+00  1.4222E+00  2.6490E+01
   2.4821E+01  3.3023E+03  1.1520E+00  2.3678E+00  2.6193E+01
   1.4242E+01  3.1043E+03  1.1528E+00  1.4620E+00  2.6495E+01
   2.5511E+01  3.3050E+03  1.1523E+00  2.4321E+00  2.6199E+01
   1.4636E+01  3.1064E+03  1.1530E+00  1.5017E+00  2.6500E+01
