x,y,M,mu,V,theta,T,p,a,rho
2.183587728071601994e-03,-5.377301099880105184e-02,1.538204297486736483e+00,7.077274874494101642e-01,4.980991389516728418e+02,9.746349094544568548e-01,2.211430133392317202e+03,8.540566440646790434e+05,3.238185849340782170e+02,1.192187495660514074e+00
2.228445826971071821e-03,-5.376074538071096143e-02,1.557123616563773405e+00,6.973776234463435753e-01,5.028646678970602579e+02,9.635809582497248948e-01,2.199509000801667298e+03,8.302984344275940675e+05,3.229446028227168881e+02,1.165304934234014045e+00
2.273088981155401214e-03,-5.374857231151458636e-02,1.576014612749847332e+00,6.873768276071176020e-01,5.075845374507994734e+02,9.525088738049858339e-01,2.187590201281695499e+03,8.070818708664763253e+05,3.220684207776224071e+02,1.138892498796865604e+00
2.317564122463872632e-03,-5.373649622853751001e-02,1.594879173162711439e+00,6.777048784930220782e-01,5.122594450063677414e+02,9.414220905948736950e-01,2.175675180691177502e+03,7.844000506199089577e+05,3.211901275195261860e+02,1.112947467047486816e+00
2.361914361991716230e-03,-5.372452140797841919e-02,1.613719045644540939e+00,6.683432736450286571e-01,5.168900465832028885e+02,9.303239204440669763e-01,2.163765395969445763e+03,7.622459648870661622e+05,3.203098135194594533e+02,1.087466964938747838e+00
2.406179447439918059e-03,-5.371265201415931917e-02,1.632535849789271021e+00,6.592750369904394336e-01,5.214769606659912142e+02,9.192175478507436104e-01,2.151862311427400527e+03,7.406125000295609934e+05,3.194275707533797117e+02,1.062447963606118817e+00
2.450396154450121180e-03,-5.370089213941870582e-02,1.651331087316033841e+00,6.504845526688277646e-01,5.260207717579613700e+02,9.081060279329440377e-01,2.139967395109607878e+03,7.194924397356539266e+05,3.185434924579064386e+02,1.037887277301530853e+00
2.494598622997675798e-03,-5.368924583653248567e-02,1.670106151747963619e+00,6.419574210453440344e-01,5.305220336473435054e+02,8.969922863171866378e-01,2.128082115296363099e+03,6.988784681776821380e+05,3.176576728922825623e+02,1.013781562411021575e+00
2.538818647813062285e-03,-5.367771714513987213e-02,1.688862337387595502e+00,6.336803334477183469e-01,5.349812723944684194e+02,8.858791204518787765e-01,2.116207937189972199e+03,6.787631741332925158e+05,3.167702071099532191e+02,9.901273175667527626e-01
2.583085930142499202e-03,-5.366631011333793111e-02,1.707600847601487004e+00,6.256409627764699666e-01,5.393989890522282167e+02,8.747692019517662176e-01,2.104346319811651028e+03,6.591390560025402810e+05,3.158811907418958072e+02,9.669208848188081129e-01
