Converging x,Converging y
-1.322152594950968228e-02,1.719000890152355340e-02
-1.322018393510149097e-02,1.719135091593174472e-02
-1.321884192069329791e-02,1.719269293033993951e-02
-1.321749990628510486e-02,1.719403494474813082e-02
-1.321615789187691355e-02,1.719537695915632214e-02
-1.321481587746872050e-02,1.719671897356451346e-02
-1.321347386306052918e-02,1.719806098797270477e-02
-1.321213184865233613e-02,1.719940300238089956e-02
-1.321078983424414481e-02,1.720074501678909087e-02
-1.320944781983595176e-02,1.720208703119728566e-02
-1.320810580542776044e-02,1.720342904560547698e-02
-1.320676379101956739e-02,1.720477106001366829e-02
-1.320542177661137608e-02,1.720611307442185961e-02
-1.320407976220318302e-02,1.720745508883005093e-02
-1.320273774779499171e-02,1.720879710323824224e-02
-1.320139573338679866e-02,1.721013911764643703e-02
-1.320005371897860734e-02,1.721148113205462835e-02
-1.319871170457041429e-02,1.721282314646282313e-02
-1.319736969016222297e-02,1.721416516087101445e-02
-1.319602767575402992e-02,1.721550717527920576e-02
-1.319468566134583860e-02,1.721684918968739708e-02
-1.319334364693764555e-02,1.721819120409558840e-02
-1.319200163252945424e-02,1.721953321850377971e-02
-1.319065961812126118e-02,1.722087523291197450e-02
-1.318931760371306987e-02,1.722221724732016582e-02
-1.318797558930487682e-02,1.722355926172836060e-02
-1.318663357489668550e-02,1.722490127613655192e-02
-1.318529156048849245e-02,1.722624329054474324e-02
-1.318394954608030113e-02,1.722758530495293455e-02
-1.318260753167210808e-02,1.722892731936112587e-02
-1.318126551726391676e-02,1.723026933376931719e-02
-1.317992350285572371e-02,1.723161134817751197e-02
-1.317858148844753066e-02,1.723295336258570676e-02
-1.317723947403933935e-02,1.723429537699389807e-02
-1.317589745963114629e-02,1.723563739140208939e-02
-1.317455544522295498e-02,1.723697940581028071e-02
-1.317321343081476193e-02,1.723832142021847202e-02
-1.317187141640657061e-02,1.723966343462666334e-02
-1.317052940199837756e-02,1.724100544903485813e-02
-1.316918738759018624e-02,1.724234746344304944e-02
-1.316784537318199319e-02,1.724368947785124423e-02
-1.316650335877380187e-02,1.724503149225943555e-02
-1.316516134436560882e-02,1.724637350666762686e-02
-1.316381932995741751e-02,1.724771552107581818e-02
-1.316247731554922445e-02,1.724905753548400950e-02
-1.316113530114103314e-02,1.725039954989220081e-02
-1.315979328673284009e-02,1.725174156430039560e-02
-1.315845127232464877e-02,1.725308357870858691e-02
-1.315710925791645572e-02,1.725442559311678170e-02
-1.315576724350826440e-02,1.725576760752497302e-02
-1.315442522910007135e-02,1.725710962193316433e-02
-1.315308321469188003e-02,1.725845163634135565e-02
-1.315174120028368698e-02,1.725979365074954697e-02
-1.315039918587549567e-02,1.726113566515773828e-02
-1.314905717146730262e-02,1.726247767956593307e-02
-1.314771515705911130e-02,1.726381969397412439e-02
-1.314637314265091825e-02,1.726516170838231917e-02
-1.314503112824272693e-02,1.726650372279051049e-02
-1.314368911383453388e-02,1.726784573719870181e-02
-1.314234709942634256e-02,1.726918775160689312e-02
-1.314100508501814951e-02,1.727052976601508444e-02
-1.313966307060995820e-02,1.727187178042327576e-02
-1.313832105620176514e-02,1.727321379483147054e-02
-1.313697904179357209e-02,1.727455580923966533e-02
-1.313563702738538078e-02,1.727589782364785664e-02
-1.313429501297718772e-02,1.727723983805604796e-02
-1.313295299856899641e-02,1.727858185246423928e-02
-1.313161098416080336e-02,1.727992386687243059e-02
-1.313026896975261204e-02,1.728126588128062191e-02
-1.312892695534441899e-02,1.728260789568881670e-02
-1.312758494093622767e-02,1.728394991009700801e-02
-1.312624292652803462e-02,1.728529192450520280e-02
-1.312490091211984330e-02,1.728663393891339412e-02
-1.312355889771165025e-02,1.728797595332158543e-02
-1.312221688330345894e-02,1.728931796772977675e-02
-1.312087486889526589e-02,1.729065998213796806e-02
-1.311953285448707457e-02,1.729200199654615938e-02
-1.311819084007888152e-02,1.729334401095435417e-02
-1.311684882567069020e-02,1.729468602536254548e-02
-1.311550681126249715e-02,1.729602803977074027e-02
-1.311416479685430583e-02,1.729737005417893159e-02
-1.311282278244611278e-02,1.729871206858712290e-02
-1.311148076803792147e-02,1.730005408299531422e-02
-1.311013875362972841e-02,1.730139609740350554e-02
-1.310879673922153710e-02,1.730273811181169685e-02
-1.310745472481334405e-02,1.730408012621989164e-02
-1.310611271040515273e-02,1.730542214062808296e-02
-1.310477069599695968e-02,1.730676415503627774e-02
-1.310342868158876836e-02,1.730810616944446906e-02
-1.310208666718057531e-02,1.730944818385266037e-02
-1.310074465277238399e-02,1.731079019826085169e-02
-1.309940263836419094e-02,1.731213221266904301e-02
-1.309806062395599963e-02,1.731347422707723432e-02
-1.309671860954780657e-02,1.731481624148542911e-02
-1.309537659513961352e-02,1.731615825589362390e-02
-1.309403458073142221e-02,1.731750027030181521e-02
-1.309269256632322916e-02,1.731884228471000653e-02
-1.309135055191503784e-02,1.732018429911819785e-02
-1.309000853750684479e-02,1.732152631352638916e-02
-1.308866652309865347e-02,1.732286832793458048e-02
-1.308732450869046042e-02,1.732421034234277527e-02
-1.308598249428226910e-02,1.732555235675096658e-02
-1.308464047987407605e-02,1.732689437115916137e-02
-1.308329846546588474e-02,1.732823638556735268e-02
-1.308195645105769168e-02,1.732957839997554400e-02
-1.308061443664950037e-02,1.733092041438373532e-02
-1.307927242224130732e-02,1.733226242879192663e-02
-1.307793040783311600e-02,1.733360444320011795e-02
-1.307658839342492295e-02,1.733494645760831274e-02
-1.307524637901673163e-02,1.733628847201650405e-02
-1.307390436460853858e-02,1.733763048642469884e-02
-1.307256235020034726e-02,1.733897250083289016e-02
-1.307122033579215421e-02,1.734031451524108147e-02
-1.306987832138396290e-02,1.734165652964927279e-02
-1.306853630697576985e-02,1.734299854405746411e-02
-1.306719429256757853e-02,1.734434055846565542e-02
-1.306585227815938548e-02,1.734568257287385021e-02
-1.306451026375119416e-02,1.734702458728204152e-02
-1.306316824934300111e-02,1.734836660169023631e-02
-1.306182623493480979e-02,1.734970861609842763e-02
-1.306048422052661674e-02,1.735105063050661894e-02
-1.305914220611842542e-02,1.735239264491481026e-02
-1.305780019171023237e-02,1.735373465932300158e-02
-1.305645817730204106e-02,1.735507667373119289e-02
-1.305511616289384801e-02,1.735641868813938768e-02
-1.305377414848565495e-02,1.735776070254758247e-02
-1.305243213407746364e-02,1.735910271695577378e-02
-1.305109011966927059e-02,1.736044473136396510e-02
-1.304974810526107927e-02,1.736178674577215642e-02
-1.304840609085288622e-02,1.736312876018034773e-02
-1.304706407644469490e-02,1.736447077458853905e-02
-1.304572206203650185e-02,1.736581278899673383e-02
-1.304438004762831053e-02,1.736715480340492515e-02
-1.304303803322011748e-02,1.736849681781311994e-02
-1.304169601881192617e-02,1.736983883222131125e-02
-1.304035400440373312e-02,1.737118084662950257e-02
-1.303901198999554180e-02,1.737252286103769389e-02
-1.303766997558734875e-02,1.737386487544588520e-02
-1.303632796117915743e-02,1.737520688985407652e-02
-1.303498594677096438e-02,1.737654890426227131e-02
-1.303364393236277306e-02,1.737789091867046262e-02
-1.303230191795458001e-02,1.737923293307865741e-02
-1.303095990354638870e-02,1.738057494748684872e-02
-1.302961788913819564e-02,1.738191696189504004e-02
-1.302827587473000433e-02,1.738325897630323136e-02
-1.302693386032181128e-02,1.738460099071142267e-02
-1.302559184591361996e-02,1.738594300511961399e-02
-1.302424983150542691e-02,1.738728501952780878e-02
-1.302290781709723559e-02,1.738862703393600009e-02
-1.302156580268904254e-02,1.738996904834419488e-02
-1.302022378828085122e-02,1.739131106275238620e-02
-1.301888177387265817e-02,1.739265307716057751e-02
-1.301753975946446512e-02,1.739399509156876883e-02
-1.301619774505627380e-02,1.739533710597696015e-02
-1.301485573064808075e-02,1.739667912038515493e-02
-1.301351371623988944e-02,1.739802113479334625e-02
-1.301217170183169639e-02,1.739936314920154103e-02
-1.301082968742350507e-02,1.740070516360973235e-02
-1.300948767301531202e-02,1.740204717801792367e-02
-1.300814565860712070e-02,1.740338919242611498e-02
-1.300680364419892765e-02,1.740473120683430630e-02
-1.300546162979073633e-02,1.740607322124249762e-02
-1.300411961538254328e-02,1.740741523565069240e-02
-1.300277760097435197e-02,1.740875725005888372e-02
-1.300143558656615891e-02,1.741009926446707851e-02
-1.300009357215796760e-02,1.741144127887526982e-02
-1.299875155774977455e-02,1.741278329328346114e-02
-1.299740954334158323e-02,1.741412530769165246e-02
-1.299606752893339018e-02,1.741546732209984377e-02
-1.299472551452519886e-02,1.741680933650803509e-02
-1.299338350011700581e-02,1.741815135091622987e-02
-1.299204148570881449e-02,1.741949336532442119e-02
-1.299069947130062144e-02,1.742083537973261598e-02
-1.298935745689243013e-02,1.742217739414080729e-02
-1.298801544248423707e-02,1.742351940854899861e-02
-1.298667342807604576e-02,1.742486142295718993e-02
-1.298533141366785271e-02,1.742620343736538124e-02
-1.298398939925966139e-02,1.742754545177357256e-02
-1.298264738485146834e-02,1.742888746618176735e-02
-1.298130537044327702e-02,1.743022948058995866e-02
-1.297996335603508397e-02,1.743157149499815345e-02
-1.297862134162689265e-02,1.743291350940634477e-02
-1.297727932721869960e-02,1.743425552381453608e-02
-1.297593731281050655e-02,1.743559753822272740e-02
-1.297459529840231524e-02,1.743693955263091871e-02
-1.297325328399412218e-02,1.743828156703911350e-02
-1.297191126958593087e-02,1.743962358144730482e-02
-1.297056925517773782e-02,1.744096559585549960e-02
-1.296922724076954650e-02,1.744230761026369092e-02
-1.296788522636135345e-02,1.744364962467188224e-02
-1.296654321195316213e-02,1.744499163908007355e-02
-1.296520119754496908e-02,1.744633365348826487e-02
-1.296385918313677776e-02,1.744767566789645619e-02
-1.296251716872858471e-02,1.744901768230465097e-02
-1.296117515432039340e-02,1.745035969671284229e-02
-1.295983313991220034e-02,1.745170171112103708e-02
-1.295849112550400903e-02,1.745304372552922839e-02
-1.295714911109581598e-02,1.745438573993741971e-02
-1.295580709668762466e-02,1.745572775434561102e-02
-1.295446508227943161e-02,1.745706976875380234e-02
-1.295312306787124029e-02,1.745841178316199366e-02
-1.295178105346304724e-02,1.745975379757018844e-02
-1.295043903905485592e-02,1.746109581197837976e-02
-1.294909702464666287e-02,1.746243782638657455e-02
-1.294775501023847156e-02,1.746377984079476586e-02
-1.294641299583027851e-02,1.746512185520295718e-02
-1.294507098142208719e-02,1.746646386961114850e-02
-1.294372896701389414e-02,1.746780588401933981e-02
-1.294238695260570282e-02,1.746914789842753113e-02
-1.294104493819750977e-02,1.747048991283572592e-02
-1.293970292378931845e-02,1.747183192724391723e-02
-1.293836090938112540e-02,1.747317394165211202e-02
-1.293701889497293409e-02,1.747451595606030333e-02
-1.293567688056474103e-02,1.747585797046849465e-02
-1.293433486615654798e-02,1.747719998487668597e-02
-1.293299285174835667e-02,1.747854199928487728e-02
-1.293165083734016362e-02,1.747988401369307207e-02
-1.293030882293197230e-02,1.748122602810126339e-02
-1.292896680852377925e-02,1.748256804250945817e-02
-1.292762479411558793e-02,1.748391005691764949e-02
-1.292628277970739488e-02,1.748525207132584081e-02
-1.292494076529920356e-02,1.748659408573403212e-02
-1.292359875089101051e-02,1.748793610014222344e-02
-1.292225673648281919e-02,1.748927811455041476e-02
-1.292091472207462614e-02,1.749062012895860954e-02
-1.291957270766643483e-02,1.749196214336680086e-02
-1.291823069325824178e-02,1.749330415777499564e-02
-1.291688867885005046e-02,1.749464617218318696e-02
-1.291554666444185741e-02,1.749598818659137828e-02
-1.291420465003366609e-02,1.749733020099956959e-02
-1.291286263562547304e-02,1.749867221540776091e-02
-1.291152062121728172e-02,1.750001422981595223e-02
-1.291017860680908867e-02,1.750135624422414701e-02
-1.290883659240089736e-02,1.750269825863233833e-02
-1.290749457799270430e-02,1.750404027304053312e-02
-1.290615256358451299e-02,1.750538228744872443e-02
-1.290481054917631994e-02,1.750672430185691575e-02
-1.290346853476812862e-02,1.750806631626510707e-02
-1.290212652035993557e-02,1.750940833067329838e-02
-1.290078450595174425e-02,1.751075034508148970e-02
-1.289944249154355120e-02,1.751209235948968448e-02
-1.289810047713535815e-02,1.751343437389787927e-02
-1.289675846272716683e-02,1.751477638830607059e-02
-1.289541644831897552e-02,1.751611840271426190e-02
-1.289407443391078247e-02,1.751746041712245322e-02
-1.289273241950258941e-02,1.751880243153064454e-02
-1.289139040509439810e-02,1.752014444593883585e-02
-1.289004839068620505e-02,1.752148646034703064e-02
-1.288870637627801373e-02,1.752282847475522196e-02
-1.288736436186982068e-02,1.752417048916341674e-02
-1.288602234746162936e-02,1.752551250357160806e-02
