x,y,s,p,T,M,A,a,V,rho
5.436177826435685881e-04,5.352299029670932323e-02,1.783418639558044484e-03,1.401157891447084723e+06,2.431452002947917208e+03,1.178277921043517695e+00,9.027203582337114431e-04,3.395455237938797950e+02,4.000789938754849686e+02,1.778903894981578970e+00
5.493161820941802262e-04,5.350738877217225270e-02,1.800028254971398987e-03,1.396819017159512034e+06,2.430007632456515694e+03,1.180754003280233277e+00,9.033570874571240396e-04,3.394446576469591719e+02,4.008006384087352671e+02,1.774449366420110419e+00
5.550276931436442986e-04,5.349180537388050632e-02,1.816625352934216238e-03,1.392487085556474747e+06,2.428561950290582899e+03,1.183230085516948860e+00,9.040020527385313111e-04,3.393436698783829684e+02,4.015216395298343173e+02,1.769999320129604259e+00
5.607528659392617843e-04,5.347623877396075198e-02,1.833211390333226633e-03,1.388162128515637247e+06,2.427114964191737727e+03,1.185706167753664220e+00,9.046552467379322549e-04,3.392425609205665751e+02,4.022419968480639909e+02,1.765553791817324747e+00
5.664922389084577244e-04,5.346068768624002293e-02,1.849787781115822937e-03,1.383844177597219357e+06,2.425666681892919314e+03,1.188182249990379802e+00,9.053166623734049080e-04,3.391413312057039775e+02,4.029617099767259560e+02,1.761112816949366833e+00
5.722463393574091402e-04,5.344515086427688993e-02,1.866355898350159333e-03,1.379533264044681098e+06,2.424217111118314733e+03,1.190658332227095384e+00,9.059862928192251481e-04,3.390399811657639475e+02,4.036807785331343439e+02,1.756676430750826690e+00
5.780156840345942407e-04,5.342962709950863087e-02,1.882917076164083298e-03,1.375229418785410235e+06,2.422766259583288047e+03,1.193134414463810966e+00,9.066641315040030588e-04,3.389385112324864622e+02,4.043992021386085298e+02,1.752244668205971800e+00
5.838007796619016504e-04,5.341411521950639729e-02,1.899472611571335597e-03,1.370932672431438230e+06,2.421314134994312553e+03,1.195610496700526326e+00,9.073501721088455315e-04,3.388369218373788385e+02,4.051169804184659142e+02,1.747817564058439244e+00
5.896021234354626404e-04,5.339861408633065493e-02,1.916023766193026981e-03,1.366643055280151777e+06,2.419860745048901663e+03,1.198086578937241908e+00,9.080444085655460821e-04,3.387352134117123796e+02,4.058341130020150445e+02,1.743395152811423321e+00
5.954202034983218598e-04,5.338312259498003559e-02,1.932571767881573980e-03,1.362360597315013874e+06,2.418406097435539778e+03,1.200562661173957490e+00,9.087468350548032897e-04,3.386333863865183957e+02,4.065505995225474862e+02,1.738977468727879616e+00
6.012554993869230653e-04,5.336763967192725139e-02,1.949117812253748413e-03,1.358085328206306789e+06,2.416950199833614079e+03,1.203038743410672851e+00,9.094574460044575585e-04,3.385314411925848503e+02,4.072664396173313435e+02,1.734564545830741489e+00
6.071084824530942683e-04,5.335216427373608294e-02,1.965663064139050713e-03,1.353817277311868267e+06,2.415493059913345405e+03,1.205514825647388433e+00,9.101762360877630083e-04,3.384293782604526655e+02,4.079816329276036413e+02,1.730156417903133015e+00
6.129796162632409999e-04,5.333669538575415425e-02,1.982208658948972271e-03,1.349556473677845206e+06,2.414034685335721861e+03,1.207990907884104015e+00,9.109032002216725914e-04,3.383271980204117995e+02,4.086961790985623111e+02,1.725753118488595472e+00
6.188693569762141865e-04,5.332123202087647729e-02,1.998755703972366141e-03,1.345302946039466886e+06,2.412575083752433329e+03,1.210466990120819597e+00,9.116383335651555200e-04,3.382249009024983479e+02,4.094100777793596535e+02,1.721354680891334477e+00
6.247781537012605819e-04,5.330577321837511734e-02,2.015305279601788558e-03,1.341056722821801202e+06,2.411114262805801445e+03,1.212943072357535179e+00,9.123816315175362675e-04,3.381224873364901669e+02,4.101233286230941530e+02,1.716961138176447133e+00
6.307064488372906598e-04,5.329031804279071166e-02,2.031858440495245850e-03,1.336817832140550949e+06,2.409652230128716837e+03,1.215419154594250539e+00,9.131330897168547138e-04,3.380199577519040872e+02,4.108359312868035431e+02,1.712572523170187599e+00
6.366546783947801911e-04,5.327486558288203194e-02,2.048416216677389091e-03,1.332586301802831935e+06,2.408188993344569553e+03,1.217895236830966121e+00,9.138927040382504663e-04,3.379173125779917655e+02,4.115478854314569048e+02,1.708188868460216003e+00
6.426232723011923807e-04,5.325941495062975345e-02,2.064979614584063101e-03,1.328362159307980677e+06,2.406724560067189032e+03,1.220371319067681704e+00,9.146604705923761305e-04,3.378145522437366708e+02,4.122591907219472205e+02,1.703810206395871329e+00
6.486126546911686989e-04,5.324396528029119724e-02,2.081549618053689203e-03,1.324145431848356500e+06,2.405258937900772708e+03,1.222847401304397064e+00,9.154363857238250000e-04,3.377116771778500492e+02,4.129698468270834155e+02,1.699436569088442095e+00
6.546232441822800920e-04,5.322851572750286059e-02,2.098127189268745186e-03,1.319936146310156677e+06,2.403792134439825986e+03,1.225323483541112646e+00,9.162204460095832491e-04,3.376086878087679111e+02,4.136798534195834804e+02,1.695067988411446791e+00
6.606554541372850788e-04,5.321306546842784896e-02,2.114713269650385623e-03,1.315734329274247633e+06,2.402324157269095849e+03,1.227799565777828228e+00,9.170126482575070631e-04,3.375055845646472790e+02,4.143892101760660012e+02,1.690704496000929202e+00
6.667096929136697228e-04,5.319761369894544095e-02,2.131308780709071336e-03,1.311540007016995689e+06,2.400855013963510373e+03,1.230275648014543810e+00,9.178129895048178733e-04,3.374023678733628344e+02,4.150979167770429399e+02,1.686346123255752616e+00
6.727863641012698376e-04,5.318215963388037149e-02,2.147914624853757611e-03,1.307353205511105247e+06,2.399384712088110518e+03,1.232751730251259170e+00,9.186214670166204703e-04,3.372990381625035070e+02,4.158059729069116770e+02,1.681992901337901580e+00
6.788858667486354862e-04,5.316670250626939764e-02,2.164531686162158262e-03,1.303173950426470488e+06,2.397913259197990556e+03,1.235227812487974752e+00,9.194380782844446430e-04,3.371955958593688933e+02,4.165133782539474510e+02,1.677644861172794100e+00
6.850085955788440262e-04,5.315124156666306554e-02,2.181160831114287331e-03,1.299002267131037312e+06,2.396440662838235312e+03,1.237703894724690334e+00,9.202628210248038404e-04,3.370920413909661306e+02,4.172201325102952865e+02,1.673302033449605819e+00
6.911549411953504200e-04,5.313577608246059653e-02,2.197802909291437286e-03,1.294838180691663641e+06,2.394966930543856961e+03,1.240179976961405917e+00,9.210956931777720480e-04,3.369883751840062587e+02,4.179262353719624912e+02,1.668964448621589769e+00
6.973252902783908923e-04,5.312030533727592901e-02,2.214458754042619888e-03,1.290681715874995105e+06,2.393492069839734086e+03,1.242656059198121277e+00,9.219366929055924312e-04,3.368845976649007525e+02,4.186316865388101860e+02,1.664632136906411652e+00
7.035200257726043332e-04,5.310482863033332696e-02,2.231129183120194887e-03,1.286532897148348624e+06,2.392016088240550289e+03,1.245132141434836859e+00,9.227858185912932425e-04,3.367807092597585665e+02,4.193364857145463702e+02,1.660305128286491350e+00
7.097395270662353040e-04,5.308934527589075775e-02,2.247814999286499357e-03,1.282391748680601595e+06,2.390538993250734165e+03,1.247608223671552441e+00,9.236430688373258469e-04,3.366767103943823827e+02,4.200406326067171108e+02,1.655983452509352194e+00
7.159841701624535936e-04,5.307385460268951305e-02,2.264516990893098315e-03,1.278258294343085028e+06,2.389060792364396548e+03,1.250084305908267801e+00,9.245084424642309364e-04,3.365726014942655979e+02,4.207441269266990389e+02,1.651667139087968694e+00
7.222543278432326779e-04,5.305835595342871247e-02,2.281235932434091691e-03,1.274132557710493216e+06,2.387581493065272753e+03,1.252560388144983383e+00,9.253819385093149360e-04,3.364683829845887431e+02,4.214469683896913921e+02,1.647356217301135350e+00
7.285503698261357620e-04,5.304284868426325378e-02,2.297972585074941308e-03,1.270014562061792938e+06,2.386101102826663009e+03,1.255036470381698965e+00,9.262635562253458167e-04,3.363640552902163563e+02,4.221491567147077717e+02,1.643050716193830807e+00
7.348726629144576149e-04,5.302733216432398144e-02,2.314727697158138007e-03,1.265904330381142208e+06,2.384619629111371069e+03,1.257512552618414547e+00,9.271532950792744964e-04,3.362596188356936295e+02,4.228506916245681850e+02,1.638750664577592664e+00
7.412215711410563481e-04,5.301180577525891474e-02,2.331502004686903263e-03,1.261801885358819505e+06,2.383137079371648724e+03,1.259988634855130130e+00,9.280511547509666479e-04,3.361550740452432251e+02,4.235515728458912008e+02,1.634456091030902503e+00
7.475974559061698225e-04,5.299626891079432800e-02,2.348296231788170839e-03,1.257707249392154627e+06,2.381653461049134421e+03,1.262464717091845490e+00,9.289571351319566260e-04,3.360504213427618652e+02,4.242518001090853090e+02,1.630167023899570911e+00
7.540006761096039629e-04,5.298072097631478794e-02,2.365111091155817739e-03,1.253620444586467696e+06,2.380168781574795503e+03,1.264940799328561072e+00,9.298712363242214512e-04,3.359456611518173190e+02,4.249513731483417018e+02,1.625883491297131167e+00
7.604315882775256486e-04,5.296516138846102395e-02,2.381947284475286353e-03,1.249541492756021908e+06,2.378683048368874097e+03,1.267416881565276654e+00,9.307934586389684552e-04,3.358407938956449925e+02,4.256502917016251786e+02,1.621605521105247139e+00
7.668905466841902108e-04,5.294958957474484723e-02,2.398805502830448667e-03,1.245470415424975567e+06,2.377196268840826178e+03,1.269892963801992014e+00,9.317238025954384297e-04,3.357358199971448585e+02,4.263485555106663583e+02,1.617333140974116956e+00
7.733779034688008629e-04,5.293400497318005021e-02,2.415686427093779402e-03,1.241407233828338096e+06,2.375708450389266090e+03,1.272369046038707596e+00,9.326622689197365318e-04,3.356307398788781597e+02,4.270461643209538352e+02,1.613066378322884686e+00
7.798940087478177345e-04,5.291840703192879358e-02,2.432590728300421806e-03,1.237351968912943266e+06,2.374219600401910157e+03,1.274845128275423178e+00,9.336088585436688259e-04,3.355255539630643966e+02,4.277431178817252544e+02,1.608805260340066434e+00
7.864392107228962685e-04,5.290279520896235682e-02,2.449519068007254604e-03,1.233304641338423360e+06,2.372729726255523019e+03,1.277321210512138761e+00,9.345635726036010532e-04,3.354202626715779729e+02,4.284394159459595244e+02,1.604549813983977335e+00
7.930138557846904725e-04,5.288716897173582204e-02,2.466472098637454910e-03,1.229265271478184033e+06,2.371238835315857614e+03,1.279797292748854343e+00,9.355264124393334463e-04,3.353148664259453540e+02,4.291350582703685745e+02,1.600300065983159215e+00
7.996182886127101066e-04,5.287152779687580295e-02,2.483450463811449644e-03,1.225233879420397570e+06,2.369746934937604237e+03,1.282273374985569703e+00,9.364973795929889882e-04,3.352093656473414853e+02,4.298300446153884309e+02,1.596056042836827782e+00
8.062528522714766232e-04,5.285587116988074707e-02,2.500454798664790163e-03,1.221210484968990320e+06,2.368254032464334159e+03,1.284749457222285285e+00,9.374764758079255243e-04,3.351037607565871781e+02,4.305243747451719400e+02,1.591817770815312727e+00
